Date,^125904-USD-STRD
2001-10-24,1035.51
2001-10-25,1021.21
2001-10-26,1040.83
2001-10-29,1031.75
2001-10-30,1011.66
2001-10-31,1018.72
2001-11-01,1030.79
2001-11-02,1032.47
2001-11-05,1048.57
2001-11-06,1048.63
2001-11-07,1060.22
2001-11-08,1071.65
2001-11-09,1061.36
2001-11-12,1039.63
2001-11-13,1057.52
2001-11-14,1058.32
2001-11-15,1058.22
2001-11-16,1069.3
2001-11-19,1074.08
2001-11-20,1064.97
2001-11-21,1056.91
2001-11-22,1068.76
2001-11-23,1060.43
2001-11-26,1062.19
2001-11-27,1052.83
2001-11-28,1045.27
2001-11-29,1045.98
2001-11-30,1058.84
2001-12-03,1048.28
2001-12-04,1062.53
2001-12-05,1089.69
2001-12-06,1097.16
2001-12-07,1086.02
2001-12-10,1067.17
2001-12-11,1067.86
2001-12-12,1065.01
2001-12-13,1050.16
2001-12-14,1046.52
2001-12-17,1073.1
2001-12-18,1070.75
2001-12-19,1057.92
2001-12-20,1050.48
2001-12-21,1057.77
2001-12-24,1051.35
2001-12-26,1053.83
2001-12-27,1076.21
2001-12-28,1078.42
2001-12-31,1085.76
2002-01-02,1086.95
2002-01-03,1102.75
2002-01-04,1099.11
2002-01-07,1086.55
2002-01-08,1076.24
2002-01-09,1074.32
2002-01-10,1067.72
2002-01-11,1071.19
2002-01-14,1052.43
2002-01-15,1057.6
2002-01-16,1038.36
2002-01-17,1047.8
2002-01-18,1046.53
2002-01-21,1041.07
2002-01-22,1041.35
2002-01-23,1048.47
2002-01-24,1056.71
2002-01-25,1037.78
2002-01-28,1042.01
2002-01-29,1028.24
2002-01-30,1016.36
2002-01-31,1028.45
2002-02-01,1031.18
2002-02-04,1025.6
2002-02-05,1011.3
2002-02-06,1001.4
2002-02-07,1011.11
2002-02-08,1013.8
2002-02-11,1028.14
2002-02-12,1025.4
2002-02-13,1029.44
2002-02-14,1038.21
2002-02-15,1032.63
2002-02-18,1023.56
2002-02-19,1008.67
2002-02-20,999.38
2002-02-21,1008.07
2002-02-22,1004.75
2002-02-25,1013.48
2002-02-26,1017.89
2002-02-27,1027.14
2002-02-28,1026.69
2002-03-01,1036.17
2002-03-04,1061.98
2002-03-05,1057.38
2002-03-06,1065.96
2002-03-07,1078.39
2002-03-08,1079.79
2002-03-11,1073.89
2002-03-12,1061.66
2002-03-13,1064.2
2002-03-14,1073.21
2002-03-15,1083.41
2002-03-18,1086.76
2002-03-19,1091.42
2002-03-20,1082.52
2002-03-21,1077.59
2002-03-22,1079.34
2002-03-25,1069.51
2002-03-26,1071.43
2002-03-27,1068.22
2002-03-28,1079.62
2002-03-29,1079.62
2002-04-01,1089.62
2002-04-02,1084.43
2002-04-03,1081.96
2002-04-04,1073.27
2002-04-05,1070.71
2002-04-08,1051.45
2002-04-09,1055.22
2002-04-10,1066.79
2002-04-11,1054.04
2002-04-12,1055.13
2002-04-15,1064.03
2002-04-16,1083.21
2002-04-17,1089.1
2002-04-18,1084.54
2002-04-19,1084.69
2002-04-22,1076.12
2002-04-23,1072.96
2002-04-24,1072.09
2002-04-25,1068.35
2002-04-26,1063.66
2002-04-29,1063.67
2002-04-30,1068.38
2002-05-01,1070.94
2002-05-02,1066.59
2002-05-03,1070.52
2002-05-06,1070.26
2002-05-07,1054.48
2002-05-08,1072.82
2002-05-09,1069.11
2002-05-10,1062.03
2002-05-13,1069.42
2002-05-14,1071.4
2002-05-15,1082.24
2002-05-16,1081.08
2002-05-17,1086.67
2002-05-20,1080.46
2002-05-21,1074.96
2002-05-22,1069.48
2002-05-23,1065.37
2002-05-24,1067.29
2002-05-27,1065.33
2002-05-28,1065.02
2002-05-29,1064.96
2002-05-30,1056.07
2002-05-31,1060.5
2002-06-03,1055.9
2002-06-04,1041.98
2002-06-05,1029.26
2002-06-06,1032.81
2002-06-07,1019.31
2002-06-10,1020.68
2002-06-11,1028.95
2002-06-12,1010.49
2002-06-13,997.82
2002-06-14,975.09
2002-06-17,1002.82
2002-06-18,1002.2
2002-06-19,993.11
2002-06-20,980.53
2002-06-21,982.86
2002-06-24,965.74
2002-06-25,982.34
2002-06-26,981.1
2002-06-27,986.82
2002-06-28,1021.6
2002-07-01,1024.0
2002-07-02,992.34
2002-07-03,960.45
2002-07-04,978.41
2002-07-05,1009.82
2002-07-08,1018.8
2002-07-09,1013.55
2002-07-10,977.49
2002-07-11,943.02
2002-07-12,944.54
2002-07-15,910.69
2002-07-16,913.78
2002-07-17,941.61
2002-07-18,955.48
2002-07-19,916.62
2002-07-22,866.81
2002-07-23,839.69
2002-07-24,829.25
2002-07-25,865.73
2002-07-26,865.3
2002-07-29,904.89
2002-07-30,907.77
2002-07-31,906.93
2002-08-01,872.18
2002-08-02,873.84
2002-08-05,848.05
2002-08-06,864.21
2002-08-07,859.48
2002-08-08,889.68
2002-08-09,905.18
2002-08-12,890.33
2002-08-13,899.66
2002-08-14,885.69
2002-08-15,906.46
2002-08-16,913.78
2002-08-19,932.47
2002-08-20,917.83
2002-08-21,930.06
2002-08-22,940.75
2002-08-23,928.81
2002-08-26,921.6
2002-08-27,944.78
2002-08-28,910.94
2002-08-29,898.75
2002-08-30,903.91
2002-09-02,891.42
2002-09-03,866.41
2002-09-04,867.96
2002-09-05,862.15
2002-09-06,882.19
2002-09-09,867.76
2002-09-10,883.13
2002-09-11,897.67
2002-09-12,870.4
2002-09-13,855.82
2002-09-16,848.86
2002-09-17,839.09
2002-09-18,815.85
2002-09-19,805.42
2002-09-20,808.09
2002-09-23,782.05
2002-09-24,768.31
2002-09-25,778.35
2002-09-26,811.34
2002-09-27,810.89
2002-09-30,784.35
2002-10-01,792.91
2002-10-02,815.14
2002-10-03,806.47
2002-10-04,786.1
2002-10-07,776.34
2002-10-08,761.27
2002-10-09,761.36
2002-10-10,777.17
2002-10-11,815.14
2002-10-14,808.27
2002-10-15,851.36
2002-10-16,837.88
2002-10-17,856.68
2002-10-18,851.91
2002-10-21,854.87
2002-10-22,849.81
2002-10-23,824.01
2002-10-24,843.05
2002-10-25,841.42
2002-10-28,854.81
2002-10-29,823.03
2002-10-30,841.9
2002-10-31,859.52
2002-11-01,854.34
2002-11-04,882.0
2002-11-05,889.42
2002-11-06,877.82
2002-11-07,870.71
2002-11-08,864.91
2002-11-11,858.19
2002-11-12,869.35
2002-11-13,860.78
2002-11-14,873.22
